Taxa,Drought,Kiboko,Kmega
CKDHL140561,3.33,7.09,8.25
CKDHL140562,2.85,5.49,6.45
CKDHL140564,3.83,7.88,7.52
CKDHL140565,3.12,7.36,8.64
CKDHL140566,2.52,7.66,9.65
CKDHL140828,3.66,7.94,8.91
CKDHL140829,3.26,7.47,8.95
CKDHL140830,2.07,9.07,9.49
CKDHL140831,2.41,8.2,10.8
CKDHL140832,3.9,7.65,9.82
CKDHL140834,2.3,7,10.51
CKDHL140835,3.04,7.21,11.49
CKDHL140836,3.82,6.32,8.56
CKDHL140837,2.72,9.1,11.06
CKDHL140838,3.27,7.25,10.51
CKDHL140839,2.94,9.05,9.64
CKDHL140840,2.33,6.61,11.54
CKDHL140841,2.43,8.38,8.1
CKDHL140843,3.16,7.22,9.38
CKDHL140845,3.08,7,8.93
CKDHL140846,2.88,6.71,11.28
CKDHL140848,2.82,6.32,10.79
CKDHL140849,2.07,7.67,10.25
CKDHL140850,2.4,6.64,8.51
CKDHL140851,2.21,8.43,9.99
CKDHL140853,2.99,7.11,9.47
CKDHL140854,2.4,6.7,8.57
CKDHL140855,2.61,6.9,9.33
CKDHL140857,1.12,6.6,8.79
CKDHL140861,2.4,7.4,9.81
CKDHL140863,1.18,6.88,11.41
CKDHL141029,1.68,7.23,11.85
CKDHL141032,1.97,6.05,12.42
CKDHL141033,2.71,6.61,8.41
CKDHL141034,2.01,5.8,10.32
CKDHL141035,2.12,7.8,8.2
CKDHL141036,4.03,7.1,10.96
CKDHL141037,1.73,7.02,10.22
CKDHL141038,3.46,6.76,10.43
CKDHL141039,1.25,6.51,10
CKDHL141040,3.26,6.6,8.81
CKDHL141041,3.43,6.23,8.88
CKDHL141042,4.34,8.36,7.54
CKDHL141043,4.2,6.21,6.53
CKDHL141044,1.87,6.62,10.06
CKDHL141045,1.88,7.86,9.92
CKDHL141046,1.66,7.54,11.64
CKDHL141047,2.42,7.61,10.64
CKDHL141051,2.52,6.59,10.05
CKDHL141052,2.15,8.52,9.68
CKDHL141054,2.88,7.83,6.92
CKDHL141055,2.15,6.93,10
CKDHL141056,2.15,8.05,8.52
CKDHL141057,3.39,5.46,9.53
CKDHL141058,2.26,8.67,9.9
CKDHL141059,1.87,6.75,10.01
CKDHL141063,2.79,6.36,8.79
CKDHL141066,2.99,5.89,9.17
CKDHL141067,2.38,7.57,10.81
CKDHL141068,3.07,6.79,10.7
CKDHL141069,1.92,6.69,8.66
CKDHL141165,1.74,4.21,9.2
CKDHL141166,1.7,2.22,8.92
CKDHL141168,2,4.46,10.28
CKDHL141170,1.93,4.93,8.51
CKDHL141171,2.23,3.81,10.33
CKDHL141172,2.1,5.89,8.02
CKDHL141173,2.23,4.58,7.56
CKDHL141175,3.24,5.11,8.9
CKDHL141179,1.99,5.92,8.87
CKDHL141180,2.61,7.29,7.63
CKDHL141181,2.39,4.39,9.86
CKDHL141186,2.95,5.84,9.22
CKDHL141187,1.78,4.95,9.76
CKDHL141236,5.14,7.61,7.59
CKDHL141237,3.18,8.19,10.24
CKDHL141238,3.67,8.37,9.96
CKDHL141239,1.68,8.02,7.8
CKDHL141241,3.77,6.69,10.06
CKDHL141242,2.63,5.9,6.57
CKDHL141246,3.94,7.04,9.56
CKDHL141248,2.73,6.73,8.29
CKDHL141249,2.47,7.71,9.5
CKDHL141251,1.44,7.01,9.96
CKDHL141254,3.47,6.16,6.55
CKDHL141257,3.8,7.43,9.23
CKDHL141258,3.2,6.47,9.25
CKDHL141260,2.04,6.65,9.64
CKDHL141262,3.34,7.9,8.92
CKDHL141263,2.39,6.33,7.53
CKDHL141264,3.58,6.51,9.59
CKDHL141265,2.58,7.28,10.33
CKDHL141266,3.3,5.79,6.72
CKDHL141267,3.78,6.96,6.17
CKDHL141268,1.86,6.1,8.13
CKDHL141271,3.3,8.38,9.03
CKDHL141274,3.55,6.93,7.76
CKDHL141278,3.53,8.61,10.55
CKDHL141283,2.27,6.78,8.55
CKDHL141285,3.11,7.15,10.66
CKDHL141287,3.96,7.59,8.89
CKDHL141288,2.83,7.82,9.56
CKDHL141291,3.95,6.63,8.28
CKDHL141293,3.54,6.69,8.6
CKDHL141295,2.44,6.44,7.08
CKDHL141296,2.91,7.3,7.93
CKDHL141307,3.27,7.19,7.04
CKDHL141351,1.77,6.72,7.39
CKDHL141400,3.34,7.46,5.58
CKDHL141402,2.13,6.83,7.36
CKDHL141403,3.06,6.78,7.77
CKDHL141404,2.97,6.01,9.56
CKDHL141405,2.05,6.06,8.56
CKDHL141407,2.8,6.72,5
CKDHL141408,2.22,6.03,7.16
CKDHL141409,2.62,5.49,7.03
CKDHL141412,2.06,5.81,5.46
CKDHL141414,2.5,6.96,6.95
CKDHL141415,1.91,7.19,5.85
CKDHL141416,2.77,6.18,7.63
CKDHL141417,2.35,6.76,9.87
CKDHL141418,2.91,4.79,6.45
CKDHL141419,2.33,6.26,6.91
CKDHL141420,2.09,7.25,8.18
CKDHL141421,1.78,8.71,6.3
CKDHL141422,2.54,6.84,4.77
CKDHL141423,1.58,6.4,7.29
CKDHL141424,2.09,6.42,8.7
CKDHL141428,2.47,5.78,6.54
CKDHL141429,2.58,7.17,7.66
CKDHL141432,1.7,5.67,9.85
CKDHL141433,2.86,5.26,7.54
CKDHL141434,3.04,7.13,6.16
CKDHL141435,2.31,6.76,7.62
CKDHL141436,2.38,7.02,6.61
CKDHL141437,3.55,6.31,7.83
CKDHL141438,2.13,6.54,5.92
CKDHL141439,2.39,5.36,8.97
CKDHL141442,2.34,6.5,4.47
CKDHL141444,2.92,7.07,8.1
CKDHL141445,2.33,6.18,8.1
CKDHL141446,3.1,7.49,7.95
CKDHL141447,3,6.11,5.23
CKDHL141448,3.11,6.28,9.68
CKDHL141449,3.13,6.57,7.6
CKDHL141452,1.87,5.79,7.37
CKDHL141453,1.81,6.34,6.53
CKDHL141454,2.93,6.76,7.69
CKDHL141455,2.28,5.23,7.71
CKDHL141456,2.81,6.05,9.27
CKDHL141457,2.19,7.22,7.66
CKDHL141460,3.27,6.14,6.86
CKDHL141466,3.03,7.05,8.03
CKDHL141467,3.13,6.85,9.53
CKDHL141468,2.1,5.8,8.93
CKDHL141470,2.54,6.24,7.25
CKDHL141471,2.42,5.56,7.96
CKDHL141473,3.34,6.19,6.93
CKDHL141474,2.26,5.44,7.81
CKDHL141480,3.43,6.56,6.4
CKDHL141481,1.96,4.97,7.95
CKDHL141482,2.11,5.5,7.77
CKDHL141483,1.68,5.52,7.23
CKDHL141484,2.52,6.79,8.49
CKDHL141486,1.74,6.32,6.52
CKDHL141487,1.41,7.15,7.38
CKDHL141488,2.59,4.94,5.45
CKDHL141489,2.01,5.65,5.04
CKDHL141490,3.24,6.35,8.27
CKDHL141491,3.31,6.26,8.58
CKDHL141492,1.73,6.33,7.5
CKDHL141494,4.03,6.55,9.36
CKDHL142068,4.76,8.04,9.35
CKDHL142069,4.36,7.99,9.42
CKDHL142074,4.86,7.96,7.95
CKDHL142076,4.55,8.67,10.16
CKDHL142077,3.84,7.28,7.08
CKDHL142081,4.15,6.72,8.18
CKDHL142084,3.18,7.09,7.71
CKDHL142086,4.85,9.05,10.73
CKDHL142091,4.48,6.67,7.81
CKDHL142093,2.67,7.7,11
CKDHL142106,3.63,6.02,11.44
CKDHL142108,2.44,7.83,12.39
CKDHL142112,4.33,8.31,8.98
CKDHL142113,2.71,7.54,12.11
CKDHL142116,3.48,6.65,8.17
CKDHL142121,3.64,8.56,12.24
CKDHL142123,4.11,7.86,7.43
CKDHL142124,4.2,8.49,10.23
CKDHL142126,3.23,8.08,6.89
CKDHL142128,3.3,8.88,9.61
CKDHL142134,4.32,6.52,8.04
CKDHL142135,3.55,7.75,8.96
CKDHL142147,3.33,7.44,8.02
CKDHL142152,4.32,7.48,7.52
CKDHL142155,3.39,5.48,8.74
CKDHL142156,3.46,2.72,7.26
CKDHL142161,3.39,9.67,9.82
CKDHL142162,3.17,6.95,8.67
CKDHL142166,4.06,7.22,7.94
CKDHL142167,3.38,7.84,7.67
CKDHL142170,3.53,6.88,7.71
CKDHL142175,2.91,8.14,9.08
CKDHL142667,3.16,6.99,10.37
CKDHL142670,2.28,6.94,8.88
CKDHL142672,2.81,7.62,10.39
CKDHL142673,2.77,8.31,10.94
CKDHL142674,2.71,8.71,7.83
CKDHL142675,4.43,7.85,9.02
CKDHL142679,3.53,7.99,8.15
CKDHL142682,3.32,7.02,11.63
CKDHL142684,2.15,8.14,10.72
CKDHL142685,3.03,8.06,11.99
CKDHL142686,1.79,8.7,10.79
CKDHL142691,3.96,7.45,9.27
CKDHL142692,2.11,7.34,9.1
CKDHL142696,2.59,7.45,8.61
CKDHL142701,1.62,7.51,8.27
CKDHL142707,3.14,6.49,8.42
CKDHL142708,3.66,6.86,10.52
